Company Name,Headquarter Location,Employee Count Range,Founding Type,Type of a Company,Company Rank,Total Funding Amount,Number of Contacts,Number of Employee Profiles,List of Employee Profiles,Industries,Founded Date,Company Type,Contact Email,Contact Phone
 DeFranco Insurance ," Seattle,  Washington,  United States",_1-10,undisclosed,For Profit,"415,507",undisclosed,1,undisclosed,undisclosed,,,,,
 HUB International ," Chicago,  Illinois,  United States",_10001+,Private Equity,For Profit,"65,676",undisclosed,"6,008",23,"['https://www.crunchbase.com/person/martin-p-hughes', 'https://www.crunchbase.com/person/richard-gulliver-97b7', 'https://www.crunchbase.com/person/marc-i-cohen', 'https://www.crunchbase.com/person/joseph-c-hyde', 'https://www.crunchbase.com/person/faizal-mitha', 'https://www.crunchbase.com/person/jay-sklar', 'https://www.crunchbase.com/person/john-p-connelly', 'https://www.crunchbase.com/person/joanne-krush']",,,,,
 Tripeur ," Bengaluru,  Karnataka,  India",_11-50,Venture - Series Unknown,For Profit,"4,863",$2M,undisclosed,3,"['https://www.crunchbase.com/person/thiagarajan-rajagopalan', 'https://www.crunchbase.com/person/sajit-chacko', 'https://www.crunchbase.com/person/rajul-garg']",,,,,
 Navan ," Palo Alto,  California,  United States",_1001-5000,Debt Financing,For Profit,22,$2.2B,481,21,"['https://www.crunchbase.com/person/ariel-cohen-5', 'https://www.crunchbase.com/person/thomas-tuchscherer', 'https://www.crunchbase.com/person/jonathan-sahoo', 'https://www.crunchbase.com/person/michal-kopec', 'https://www.crunchbase.com/person/jeff-shadoian', 'https://www.crunchbase.com/person/ilze-dreyer', 'https://www.crunchbase.com/person/michael-sindicich-4b68', 'https://www.crunchbase.com/person/leslie-kurkjian']",,,,,
 Lifecycle Insights - MSP ," Vancouver,  British Columbia,  Canada",undisclosed,undisclosed,For Profit,"566,123",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 ScalePad ," Vancouver,  British Columbia,  Canada",_51-100,Private Equity,For Profit,"32,007",undisclosed,8,3,"['https://www.crunchbase.com/person/dan-wensley-116b', 'https://www.crunchbase.com/person/chris-day-59a3', 'https://www.crunchbase.com/person/anthony-day-ff35']",,,,,
 ATAC Resources ," Vancouver,  British Columbia,  Canada",_101-250,Post-IPO Equity,For Profit,"55,315",$5M,4,undisclosed,undisclosed,,,,,
 Hecla Mining Company ," Coeur D'alene,  Idaho,  United States",_501-1000,Post-IPO Debt,For Profit,"39,954",$40M,168,15,"['https://www.crunchbase.com/person/mark-board', 'https://www.crunchbase.com/person/lauren-m-roberts', 'https://www.crunchbase.com/person/luke-russell', 'https://www.crunchbase.com/person/john-jordan-4', 'https://www.crunchbase.com/person/robert-brown-16', 'https://www.crunchbase.com/person/patsy-clark-467e', 'https://www.crunchbase.com/person/phillips-s-baker', 'https://www.crunchbase.com/person/mike-westerlund']",,,,,
 LanguageTool ," Potsdam,  Brandenburg,  Germany",_11-50,undisclosed,For Profit,"136,042",undisclosed,undisclosed,1,['https://www.crunchbase.com/person/christopher-blum'],,,,,
 Learneo ," Redwood City,  California,  United States",_501-1000,undisclosed,For Profit,"149,982",undisclosed,undisclosed,1,['https://www.crunchbase.com/person/andrew-t-grauer'],,,,,
 WeMakePrice ," Seoul,  Seoul-t'ukpyolsi,  South Korea",_251-500,Venture - Series Unknown,For Profit,"9,208",₩476B,1,3,"['https://www.crunchbase.com/person/jong-haan-lee', 'https://www.crunchbase.com/person/hwayeon-ryu', 'https://www.crunchbase.com/person/huh-min']",,,,,
 Qoo10 ," Singapore,  Central Region",_501-1000,undisclosed,For Profit,"96,321",undisclosed,undisclosed,2,"['https://www.crunchbase.com/person/kim-takashi-c6ac', 'https://www.crunchbase.com/person/mark-lee-ab12']",,,,,
 Queens Gaming Collective ," Los Angeles,  California,  United States",_11-50,Seed,For Profit,"56,917",$1.5M,6,3,"['https://www.crunchbase.com/person/alisa-jacobs-08e0', 'https://www.crunchbase.com/person/dame-didi-wong', 'https://www.crunchbase.com/person/justin-j-giangrande']",,,,,
 XSET ," Boston,  Massachusetts,  United States",_11-50,Series A,For Profit,"21,822",$15M,10,5,"['https://www.crunchbase.com/person/wil-eddins', 'https://www.crunchbase.com/person/marco-mereu', 'https://www.crunchbase.com/person/michael-cucchi', 'https://www.crunchbase.com/person/greg-selkoe', 'https://www.crunchbase.com/person/clint-sparks']",,,,,
 Torchiana ," San Francisco,  California,  United States",_11-50,undisclosed,For Profit,"359,541",undisclosed,16,1,['https://www.crunchbase.com/person/dave-forster'],,,,,
 Waldron ," Seattle,  Washington,  United States",_11-50,undisclosed,For Profit,"343,222",undisclosed,30,2,"['https://www.crunchbase.com/person/tom-waldron', 'https://www.crunchbase.com/person/kim-bohr-b4a4']",,,,,
 Korsini ," Gaziemir,  Izmir,  Turkey",undisclosed,undisclosed,For Profit,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Multi-Color ," Batavia,  New York,  United States",_10001+,Post-IPO Debt,For Profit,"1,952",$300M,666,4,"['https://www.crunchbase.com/person/nigel-a-vinecombe', 'https://www.crunchbase.com/person/michael-henry-5024', 'https://www.crunchbase.com/person/sharon-birkett', 'https://www.crunchbase.com/person/dawn-bertsche']",,,,,
 Pure IP ," San Francisco,  California,  United States",_11-50,undisclosed,For Profit,"109,969",undisclosed,25,1,['https://www.crunchbase.com/person/brian-o-connor-3'],,,,,
 BCM One ," New York,  United States",_101-250,undisclosed,For Profit,"59,489",undisclosed,119,3,"['https://www.crunchbase.com/person/mike-nowak', 'https://www.crunchbase.com/person/geoffrey-bloss', 'https://www.crunchbase.com/person/douglas-fechter']",,,,,
 Scopely ," Culver City,  California,  United States",_1001-5000,Secondary Market,For Profit,719,$998.5M,519,27,"['https://www.crunchbase.com/person/walter-driver', 'https://www.crunchbase.com/person/javier-ferreira', 'https://www.crunchbase.com/person/tim-obrien-3', 'https://www.crunchbase.com/person/ankur-bulsura', 'https://www.crunchbase.com/person/eunice-lee-3fce', 'https://www.crunchbase.com/person/benjamin-webley', 'https://www.crunchbase.com/person/roy-rosenthal', 'https://www.crunchbase.com/person/phil-hardin-9d7c']",,,,,
 Savvy Gaming Group ," Riyadh,  Ar Riyad,  Saudi Arabia",_5001-10000,undisclosed,For Profit,undisclosed,undisclosed,undisclosed,4,"['https://www.crunchbase.com/person/yannick-theler', 'https://www.crunchbase.com/person/jerry-gamez-0cb4', 'https://www.crunchbase.com/person/peeyush-gulati-6e38', 'https://www.crunchbase.com/person/kadri-harma']",,,,,
 Tradeimpex Polymers India ," Gurgaon,  Haryana,  India",_11-50,undisclosed,For Profit,"363,608",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 IMCD ," Rotterdam,  Zuid-Holland,  The Netherlands",_1001-5000,undisclosed,For Profit,"97,627",undisclosed,152,4,"['https://www.crunchbase.com/person/piet-van-der-slikke', 'https://www.crunchbase.com/person/hans-kooijmans-4bd0', 'https://www.crunchbase.com/person/valerie-diele-braun', 'https://www.crunchbase.com/person/marcus-jordan-6d62']",,,,,
 Schaefer Autobody Centers ," Fenton,  Missouri,  United States",_11-50,undisclosed,For Profit,"162,150",undisclosed,33,undisclosed,undisclosed,,,,,
 Quality Collision Group ," Philadelphia,  Pennsylvania,  United States",_101-250,undisclosed,For Profit,"563,458",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Cleland Jardine Engineering ," Ottawa,  Ontario,  Canada",_101-250,undisclosed,For Profit,"343,301",undisclosed,24,undisclosed,undisclosed,,,,,
 Bouthillette Parizeau ," Montréal,  Quebec,  Canada",_251-500,Private Equity,For Profit,"137,769",undisclosed,12,undisclosed,undisclosed,,,,,
 Nexum.eu ,undisclosed,undisclosed,undisclosed,For Profit,"275,109",undisclosed,7,1,['https://www.crunchbase.com/person/gabriele-maltinti'],,,,,
 Prosci ," Fort Collins,  Colorado,  United States",_101-250,Private Equity,For Profit,"68,947",undisclosed,113,3,"['https://www.crunchbase.com/person/jeff-hiatt-62ea', 'https://www.crunchbase.com/person/betsy-bond-998e', 'https://www.crunchbase.com/person/scott-mcallister-4d3d']",,,,,
 Experience Early Learning ," Grawn,  Michigan,  United States",_101-250,undisclosed,For Profit,"155,270",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Brightwheel ," San Francisco,  California,  United States",_101-250,Series C,For Profit,"9,035",$88.8M,159,14,"['https://www.crunchbase.com/person/dave-vasen', 'https://www.crunchbase.com/person/joy-tagert', 'https://www.crunchbase.com/person/amy-chantasirivisal', 'https://www.crunchbase.com/person/chris-joscon', 'https://www.crunchbase.com/person/chris-cook-ec9d', 'https://www.crunchbase.com/person/c%C3%A9line-junke', 'https://www.crunchbase.com/person/guillaume-delente', 'https://www.crunchbase.com/person/brett-lyon']",,,,,
 Investec ," London,  England,  United Kingdom",_501-1000,undisclosed,For Profit,"183,066",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Rathbones Group Plc ," London,  England,  United Kingdom",_1001-5000,undisclosed,For Profit,"141,494",undisclosed,624,3,"['https://www.crunchbase.com/person/paul-tuck', 'https://www.crunchbase.com/person/dev-shah-cd2a', 'https://www.crunchbase.com/person/paul-stockton']",,,,,
